first_reading	second_reading	third_reading
	2022-10-02T14:12Z;44:27;00:24	2022-10-02T16:12Z;09:07;00:05
	2022-10-02T14:12Z;44:52;00:25	2022-10-02T16:12Z;09:13;00:05
	2022-10-02T14:13Z;45:21;00:28	2022-10-02T16:12Z;09:18;00:05
	2022-10-02T14:13Z;45:48;00:27	2022-10-02T16:12Z;09:24;00:05
	2022-10-02T14:14Z;46:14;00:25	2022-10-02T16:12Z;09:30;00:05
	2022-10-02T14:14Z;46:40;00:25	2022-10-02T16:12Z;09:35;00:05
	2022-10-02T14:15Z;47:10;00:29	2022-10-02T16:12Z;09:40;00:05
	2022-10-02T14:15Z;47:36;00:26	2022-10-02T16:13Z;09:46;00:05
	2022-10-02T14:15Z;48:03;00:26	2022-10-02T16:13Z;09:51;00:05
	2022-10-02T14:16Z;48:30;00:27	2022-10-02T16:13Z;09:57;00:05
	2022-10-02T14:16Z;48:56;00:25	2022-10-02T16:13Z;10:02;00:05
	2022-10-02T14:17Z;49:20;00:23	2022-10-02T16:13Z;10:07;00:05
	2022-10-02T14:17Z;49:45;00:25	2022-10-02T16:13Z;10:12;00:05
	2022-10-02T14:18Z;50:11;00:26	2022-10-02T16:13Z;10:17;00:05
	2022-10-02T14:18Z;50:36;00:25	2022-10-02T16:13Z;10:22;00:05
	2022-10-02T14:18Z;51:03;00:26	2022-10-02T16:13Z;10:27;00:05
	2022-10-02T14:19Z;51:42;00:39	2022-10-02T16:13Z;10:32;00:05
	2022-10-02T14:20Z;52:17;00:34	2022-10-02T16:13Z;10:38;00:05
	2022-10-02T14:20Z;52:47;00:30	2022-10-02T16:13Z;10:43;00:05
	2022-10-02T14:21Z;53:15;00:27	2022-10-02T16:14Z;10:48;00:05
	2022-10-02T14:21Z;53:49;00:33	2022-10-02T16:14Z;10:53;00:05
	2022-10-02T14:22Z;54:16;00:27	2022-10-02T16:14Z;10:59;00:05
	2022-10-02T14:22Z;54:41;00:25	2022-10-02T16:14Z;11:04;00:05
	2022-10-02T14:23Z;55:10;00:28	2022-10-02T16:14Z;11:10;00:06
	2022-10-02T14:23Z;55:38;00:27	2022-10-02T16:14Z;11:16;00:05
	2022-10-02T14:23Z;56:04;00:26	2022-10-02T16:14Z;11:21;00:05
	2022-10-02T14:24Z;56:31;00:26	2022-10-02T16:14Z;11:27;00:05
	2022-10-02T14:24Z;56:59;00:28	2022-10-02T16:14Z;11:32;00:05
	2022-10-02T14:25Z;57:27;00:27	2022-10-02T16:14Z;11:38;00:05
	2022-10-02T14:25Z;57:53;00:26	2022-10-02T16:14Z;11:43;00:05
	2022-10-02T14:26Z;58:20;00:26	2022-10-02T16:15Z;11:49;00:05
	2022-10-02T14:26Z;58:47;00:26	2022-10-02T16:15Z;11:54;00:05
	2022-10-02T14:27Z;59:14;00:26	2022-10-02T16:15Z;12:00;00:05
	2022-10-02T14:27Z;59:40;00:26	2022-10-02T16:15Z;12:05;00:05
	2022-10-02T14:27Z;60:05;00:24	2022-10-02T16:15Z;12:10;00:05
	2022-10-02T14:28Z;60:33;00:28	2022-10-02T16:15Z;12:16;00:05
	2022-10-02T14:28Z;61:01;00:27	2022-10-02T16:15Z;12:21;00:05
	2022-10-02T14:29Z;61:33;00:32	2022-10-02T16:15Z;12:27;00:05
	2022-10-02T14:30Z;62:09;00:36	2022-10-02T16:15Z;12:32;00:05
	2022-10-02T14:30Z;62:43;00:33	2022-10-02T16:15Z;12:38;00:05
	2022-10-02T14:31Z;63:13;00:30	2022-10-02T16:15Z;12:43;00:05
	2022-10-02T14:31Z;63:41;00:27	2022-10-02T16:16Z;12:49;00:05
	2022-10-02T14:32Z;64:11;00:30	2022-10-02T16:16Z;12:54;00:05
	2022-10-02T14:32Z;64:39;00:28	2022-10-02T16:16Z;13:00;00:06
	2022-10-02T14:33Z;65:07;00:27	2022-10-02T16:16Z;13:06;00:05
	2022-10-02T14:33Z;65:40;00:32	2022-10-02T16:16Z;13:11;00:05
	2022-10-02T14:34Z;66:06;00:26	2022-10-02T16:16Z;13:16;00:05
	2022-10-02T14:34Z;66:34;00:27	2022-10-02T16:16Z;13:22;00:05
	2022-10-02T14:34Z;67:02;00:27	2022-10-02T16:16Z;13:27;00:05
	2022-10-02T14:35Z;67:29;00:27	2022-10-02T16:16Z;13:32;00:05
	2022-10-02T14:35Z;67:56;00:26	2022-10-02T16:16Z;13:38;00:05
	2022-10-02T14:36Z;68:27;00:31	2022-10-02T16:16Z;13:43;00:05
	2022-10-02T14:36Z;68:56;00:28	2022-10-02T16:17Z;13:48;00:05
	2022-10-02T14:37Z;69:23;00:27	2022-10-02T16:17Z;13:53;00:05
	2022-10-02T14:37Z;69:53;00:29	2022-10-02T16:17Z;13:59;00:05
	2022-10-02T14:38Z;70:23;00:29	2022-10-02T16:17Z;14:04;00:05
	2022-10-02T14:38Z;70:54;00:31	2022-10-02T16:17Z;14:09;00:05
	2022-10-02T14:39Z;71:21;00:27	2022-10-02T16:17Z;14:14;00:05
	2022-10-02T14:39Z;71:48;00:26	2022-10-02T16:17Z;14:20;00:05
	2022-10-02T14:40Z;72:18;00:29	2022-10-02T16:17Z;14:25;00:05
	2022-10-02T14:40Z;72:48;00:30	2022-10-02T16:17Z;14:30;00:05
	2022-10-02T14:41Z;73:16;00:28	2022-10-02T16:17Z;14:35;00:05
	2022-10-02T14:41Z;73:44;00:27	2022-10-02T16:17Z;14:40;00:05
	2022-10-02T14:42Z;74:14;00:29	2022-10-02T16:18Z;14:46;00:05
	2022-10-02T14:42Z;74:46;00:32	2022-10-02T16:18Z;14:51;00:05
	2022-10-02T14:43Z;75:16;00:29	2022-10-02T16:18Z;14:57;00:05
	2022-10-02T14:43Z;75:45;00:29	2022-10-02T16:18Z;15:02;00:05
	2022-10-02T14:44Z;76:17;00:32	2022-10-02T16:18Z;15:07;00:05
	2022-10-02T14:44Z;76:49;00:32	2022-10-02T16:18Z;15:13;00:05
	2022-10-02T14:45Z;77:22;00:32	2022-10-02T16:18Z;15:18;00:05
	2022-10-02T14:45Z;77:52;00:30	2022-10-02T16:18Z;15:23;00:05
	2022-10-02T14:46Z;78:19;00:27	2022-10-02T16:18Z;15:28;00:05
	2022-10-02T14:46Z;78:46;00:26	2022-10-02T16:18Z;15:34;00:05
	2022-10-02T14:47Z;79:15;00:28	2022-10-02T16:18Z;15:39;00:05
	2022-10-02T14:47Z;79:44;00:29	2022-10-02T16:18Z;15:45;00:05
	2022-10-02T14:48Z;80:10;00:26	2022-10-02T16:19Z;15:50;00:05
	2022-10-02T14:48Z;80:35;00:25	2022-10-02T16:19Z;15:56;00:06
	2022-10-02T14:48Z;81:02;00:26	2022-10-02T16:19Z;16:02;00:05
	2022-10-02T14:49Z;81:29;00:26	2022-10-02T16:19Z;16:07;00:05
	2022-10-02T14:49Z;81:55;00:26	2022-10-02T16:19Z;16:13;00:05
	2022-10-02T14:50Z;82:22;00:26	2022-10-02T16:19Z;16:18;00:05
	2022-10-02T14:50Z;82:49;00:26	2022-10-02T16:19Z;16:23;00:05
	2022-10-02T14:51Z;83:16;00:27	2022-10-02T16:19Z;16:29;00:05
	2022-10-02T14:51Z;83:44;00:28	2022-10-02T16:19Z;16:34;00:05
	2022-10-02T14:52Z;84:10;00:25	2022-10-02T16:19Z;16:40;00:05
